url,stars,python,training,evaluation,pretrained_model,results,dependencies
https://github.com/kakaobrain/fast-autoaugment,834,1,1,1,1,1,1
https://github.com/a1600012888/YOPO-You-Only-Propagate-Once,120,1,1,0,0,0,1
https://github.com/FerranAlet/modular-metalearning,35,1,1,0,0,0,1
https://github.com/facebookresearch/XLM,1913,1,1,0,1,1,1
https://github.com/yromano/cqr,19,1,1,1,0,0,1
https://github.com/muhanzhang/D-VAE,40,1,1,1,1,0,1
https://github.com/Cerebras/online-normalization,29,1,1,1,0,1,1
https://github.com/google-research/mixmatch,761,1,1,1,0,0,1
https://github.com/Bai-Li/STN-Code,8,1,1,1,1,0,1
https://github.com/EmilienDupont/augmented-neural-odes,300,1,1,1,0,0,1
https://github.com/ibalazevic/multirelational-poincare,64,1,1,1,0,1,1
https://github.com/polo5/ZeroShotKnowledgeTransfer,58,1,1,0,1,0,1
https://github.com/mickaelChen/ReDO,107,1,1,1,1,0,0
https://github.com/omitakahiro/NeuralNetworkPointProcess,10,1,1,0,0,0,0
https://github.com/jfc43/robust-attribution-regularization,8,1,1,1,0,0,1
https://github.com/XuezheMax/macow,32,1,1,1,0,0,1
https://github.com/mmahesh/cocain-bpg-matrix-factorization,2,1,0,0,0,1,1
https://github.com/facebookresearch/qmnist,182,1,1,0,0,1,0
https://github.com/loeweX/Greedy_InfoMax,162,1,1,1,0,0,1
https://github.com/eleurent/highway-env,260,1,1,1,0,0,1
https://github.com/Khurramjaved96/mrcl,90,1,1,1,1,0,1
https://github.com/fkunstner/limitations-empirical-fisher,26,1,0,1,0,0,1
https://github.com/CausalML/DeepGMM,11,1,0,1,0,0,0
https://github.com/edebrouwer/gru_ode_bayes,44,1,1,1,0,0,1
https://github.com/mtrager/polynomial_networks,1,0,0,0,0,0,0
https://github.com/f-t-s/CGD,10,0,0,0,0,0,0
https://github.com/astirn/MV-Kumaraswamy,1,1,1,1,0,0,1
https://github.com/xiaozhanguva/Measure-Concentration,6,1,1,1,0,0,1
https://github.com/nnRNN/nnRNN_release,16,1,1,1,0,1,0
https://github.com/AntreasAntoniou/Learning_to_Learn_via_Self-Critique,34,1,1,1,0,1,1
https://github.com/nrgeup/controllable-text-attribute-transfer,76,1,1,0,0,0,1
https://github.com/ShannonAI/glyce,203,1,1,1,1,1,1
https://github.com/GiulsLu/Sinkhorn-Barycenters,4,1,0,1,0,0,1
https://github.com/instadeepai/AlphaNPI,46,1,1,0,0,0,1
https://github.com/max-andr/provably-robust-boosting,26,1,1,1,0,1,1
https://github.com/vveitch/causal-network-embeddings,22,1,1,1,0,0,1
https://github.com/harhro94/T-CorEx,12,1,1,1,0,0,1
https://github.com/microsoft/petridishnn,99,1,1,1,0,0,1
https://github.com/epfml/powersgd,20,1,1,0,0,0,0
https://github.com/Yang7879/3D-BoNet,213,1,1,1,1,1,1
https://github.com/joansj/blow,95,1,1,1,0,0,1
https://github.com/claudiashi57/dragonnet,31,1,1,1,0,0,1
https://github.com/ds4dm/learn2branch,75,1,1,1,0,0,1
https://github.com/greydanus/hamiltonian-nn,147,1,1,1,0,1,1
https://github.com/trevorcampbell/ubvi,3,1,0,0,0,0,1
https://github.com/brjathu/RPSnet,28,1,1,1,0,1,1
https://github.com/alaflaquiere/learn-spatial-structure,0,1,1,1,0,0,1
https://github.com/TURuibo/Neuropathic-Pain-Diagnosis-Simulator,4,1,1,1,0,0,1
https://github.com/PwnerHarry/Stronger_GCN,26,1,1,0,0,0,1
https://github.com/kynkaat/improved-precision-and-recall-metric,34,1,0,1,0,1,1
https://github.com/rr-learning/disentanglement_dataset,35,1,0,0,0,0,0
https://github.com/bayesiains/nsf,101,1,1,1,0,0,1
https://github.com/twankim/avod_ssn,3,1,1,1,0,0,1
https://github.com/hendrycks/ss-ood,92,1,1,1,0,0,0
https://github.com/Philip-Bachman/amdim-public,233,1,1,1,1,0,1
https://github.com/jialinwu17/Self_Critical_VQA,21,1,1,1,1,0,1
https://github.com/bknyaz/graph_attention_pool,91,1,1,1,1,1,1
https://github.com/rowanz/grover,588,1,1,0,1,0,1
https://github.com/songlab-cal/tape,78,1,1,1,1,1,1
https://github.com/zihangdai/xlnet,5114,1,1,1,1,1,0
https://github.com/charliemarx/disentangling-influence,2,1,1,1,0,0,1
https://github.com/sato9hara/sgd-influence,22,1,1,1,0,1,0
https://github.com/twistedcubic/que-outlier-detection,18,1,1,1,0,0,1
https://github.com/allenai/dnw,114,1,1,1,1,1,1
https://github.com/glivan/tensor_networks_for_probabilistic_modeling,16,1,1,0,0,0,1
https://github.com/tginart/deletion-efficient-kmeans,15,1,1,1,0,0,0
https://github.com/ermongroup/ncsn,167,1,1,0,1,1,1
https://github.com/michaelrzhang/lookahead,89,1,0,0,0,0,0
https://github.com/pfnet-research/einconv,16,1,1,0,0,0,1
https://github.com/ckheaukulani/swpr,1,1,1,0,0,0,1
https://github.com/rtqichen/residual-flows,122,1,1,0,1,1,1
https://github.com/jiasenlu/vilbert_beta,222,1,1,1,1,1,1
https://github.com/zhangxiaosong18/FreeAnchor,603,1,1,1,1,1,1
https://github.com/zsyOAOA/VDNet,60,1,1,1,0,1,1
https://github.com/drorsimon/CSCNet,8,1,1,1,1,0,1
https://github.com/HongtengXu/s-gwl,7,1,1,0,0,0,1
https://github.com/youzhonghui/gate-decorator-pruning,149,1,1,0,1,0,1
https://github.com/inspire-group/robustness-via-transport,4,1,1,1,0,0,1
https://github.com/tbepler/spatial-VAE,17,1,1,0,0,0,1
https://github.com/Muzammal-Naseer/Cross-domain-perturbations,7,1,1,1,1,0,1
https://github.com/microsoft/unilm,599,1,1,1,1,1,1
https://github.com/valeoai/ConfidNet,61,1,1,1,1,0,1
https://github.com/myzwisc/PPRL_NeurIPS19,4,1,1,1,0,0,0
https://github.com/yihanjiang/turboae,18,1,1,1,1,0,0
https://github.com/boschresearch/PA-GAN,0,1,0,0,0,0,0
https://github.com/superrrpotato/Defending-Neural-Backdoors-via-Generative-Distribution-Modeling,7,1,1,1,0,0,0
https://github.com/ykasten/Convergence-Rate-NN-Different-Frequencies,0,1,1,1,0,1,0
https://github.com/wokas36/DFNets,4,1,1,0,0,0,1
https://github.com/AnujMahajanOxf/MAVEN,15,1,1,0,0,0,1
https://github.com/mblondel/projection-losses,11,1,0,0,0,0,0
https://github.com/code-terminator/classwise_rationale,6,1,1,0,0,0,1
https://github.com/optimass/Maximally_Interfered_Retrieval,19,1,1,1,0,0,1
https://github.com/georgehc/mnar_mc,2,1,1,1,0,0,1
https://github.com/BBVA/UMAL,7,1,1,1,0,1,0
https://github.com/jenninglim/model-comparison-test,3,0,1,0,0,0,1
https://github.com/patrick-kidger/Deep-Signature-Transforms,31,1,1,1,0,0,1
https://github.com/ZJULearning/RMI,94,1,1,1,0,0,1
https://github.com/shupenggui/ATMC,16,1,1,1,1,1,1
https://github.com/Kipok/understanding-momentum,9,1,1,1,0,1,0
https://github.com/mmkamani7/LUPA-SGD,0,1,1,0,0,0,0
https://github.com/xjtushujun/meta-weight-net,76,1,1,0,0,0,1
https://github.com/LCSL/dpp-vfx,5,1,1,1,0,0,0
https://github.com/AilsaF/cogen_by_ais,4,0,1,0,0,0,0
https://github.com/mengzaiqiao/SCAN,20,1,1,1,0,0,1
https://github.com/guoyongcs/NAT,41,1,1,1,0,0,1
https://github.com/PKU-AI-Edge/FEN,23,1,1,0,0,0,0
https://github.com/yytzsy/SCDM,36,1,1,1,1,0,0
https://github.com/BGU-CS-VIL/dtan,30,1,1,1,0,1,1
https://github.com/hojonathanho/localbitsback,8,1,0,0,1,0,1
https://github.com/NingMiao/KerBS,8,1,1,0,0,0,1
https://github.com/TavorB/Correlated-Sequential-Halving,0,1,1,0,0,0,0
https://github.com/canqin001/PointDAN,42,0,1,1,0,0,1
https://github.com/researchmm/DBTNet,71,0,1,1,1,1,1
https://github.com/IBM/HOTT,27,1,1,1,0,0,0
https://github.com/tinyRattar/CSMRI_0325,10,1,1,1,0,0,1
https://github.com/AIasd/noise_fairlearn,0,1,1,1,0,0,0
https://github.com/batra-mlp-lab/vln-chasing-ghosts,2,0,1,1,0,0,1
https://github.com/artsobolev/IWHVI,3,1,1,1,0,0,0
https://github.com/qiaott/LeicaGAN,9,1,1,1,0,0,0
https://github.com/makrout/Deep-Learning-without-Weight-Transport,10,1,1,1,0,1,1
https://github.com/pfnet-research/recompute,1,1,1,1,0,0,1
https://github.com/Magauiya/Extended_SURE,4,1,1,1,1,0,1
https://github.com/saralajew/cbc_networks,7,1,1,1,0,0,1
https://github.com/SuReLI/rats-experiments,2,1,1,1,0,0,1
https://github.com/sreyas-mohan/DeepFreq,8,1,1,1,1,0,1
https://github.com/megvii-model/DetNAS,190,1,1,1,1,1,1
https://github.com/AllenInstitute/coupledAE,2,1,1,1,0,1,0
https://github.com/raywzy/VSC,6,1,1,1,0,0,1
https://github.com/facebookresearch/minirts,122,1,1,1,1,0,1
https://github.com/HaohanWang/PAR,7,1,0,0,0,0,0
https://github.com/bwang-ml/gapBoost,3,0,1,1,0,0,1
https://github.com/yaircarmon/semisup-adv,27,1,1,1,1,0,1
https://github.com/naver/r2d2,92,0,1,1,1,1,1
https://github.com/BouchardLab/DynamicalComponentsAnalysis,4,1,1,1,0,0,1
https://github.com/schung039/neural_manifolds_replicaMFT,5,1,0,0,0,0,1
https://github.com/Chichilnisky-Lab/shah-neurips-2019,0,1,0,0,0,0,0
https://github.com/abr/neurips2019,115,1,1,1,0,1,1
https://github.com/thuml/Batch-Spectral-Shrinkage,3,1,1,0,0,0,1
https://github.com/fanyun-sun/vGraph,17,1,1,0,0,0,1
https://github.com/smair/archetypalanalysis-coreset,1,1,1,1,0,1,1
https://github.com/IssamLaradji/sls,67,1,1,1,0,1,1
https://github.com/jliang993/A3DMM,2,0,1,1,0,1,1
https://github.com/tk1980/GaussianPooling,8,1,1,1,0,1,1
https://github.com/ermongroup/MetaIRL,22,0,1,0,1,0,0
https://github.com/ansuini/IntrinsicDimDeep,11,1,1,1,0,1,1
https://github.com/idiap/fullgrad-saliency,54,1,1,1,0,0,1
https://github.com/AliaksandrSiarohin/first-order-model,271,1,1,1,1,1,1
https://github.com/mit-han-lab/deep-leakage-from-gradients,59,1,1,0,0,1,1
https://github.com/HazyResearch/hgcn,97,1,1,1,0,1,1
https://github.com/Cyanogenoid/dspn,44,1,1,1,1,0,1
https://github.com/bogus2000/zero-shot_SGAL,0,1,1,0,0,0,0
https://github.com/delegability/data,1,0,1,0,0,0,0
https://github.com/vlkniaz/MAGritte,4,1,1,1,0,0,1
https://github.com/umutsimsekli/sgd_first_exit_time,0,1,0,0,0,0,0
https://github.com/Liusifei/UVC,100,1,1,1,1,1,1
https://github.com/NikosParotsidis/Fully-dynamic_facility_location-NeurIPS2019,0,1,0,0,0,0,0
https://github.com/CausalML/IntrinsicallyEfficientStableOPE,4,1,0,1,0,0,0
https://github.com/nyummvc/Arbicon-Net,1,0,0,0,0,0,0
https://github.com/anoneurips2019/SGD-learns-functions-of-increasing-complexity,1,1,1,1,0,0,0
https://github.com/mskyt88/info-relax-sampling,0,1,0,0,0,0,0
https://github.com/NVlabs/Dance2Music,234,0,0,0,0,0,0
https://github.com/dragnet-org/dragnet,837,1,1,1,0,0,1
https://github.com/xbpeng/mcp,3,0,0,0,0,0,0
https://github.com/cvlab-yonsei/projects,52,0,0,0,0,0,0
https://github.com/danmcduff/characterizingBias,1,1,1,1,0,0,1
https://github.com/briancheung/superposition,15,1,0,1,0,0,1
https://github.com/ermongroup/mintnet,22,1,1,1,0,0,1
https://github.com/microsoft/IBAC-SNI,14,1,1,1,0,0,1
https://github.com/xkianteb/ApproPO,0,1,0,0,0,0,1
https://github.com/ciarapb/recovering_bandits,0,1,0,1,0,0,0
https://github.com/dingyiming0427/goalgail,11,1,1,1,0,0,0
